Date,Firm,To Grade,From Grade,Action,ABV
2019-12-13,Argus Research,Hold,,init,VIACP
2019-12-18,Needham,Buy,,init,VIACP
2020-01-06,Imperial Capital,Outperform,,main,VIACP
2020-01-07,BMO Capital,Market Perform,,init,VIACP
2020-01-15,Moffett Nathanson,Neutral,,init,VIACP
2020-01-30,Rosenblatt,Neutral,,init,VIACP
2020-02-03,Credit Suisse,Neutral,Outperform,down,VIACP
2020-02-21,JP Morgan,Overweight,,main,VIACP
2020-02-21,UBS,Neutral,,main,VIACP
2020-02-21,Benchmark,Buy,,main,VIACP
2020-02-24,Rosenblatt,Neutral,,reit,VIACP
2020-02-24,Barclays,Equal-Weight,,main,VIACP
2020-03-03,Barrington Research,Outperform,,main,VIACP
2020-03-05,Imperial Capital,Outperform,,main,VIACP
2020-03-18,Imperial Capital,Outperform,,main,VIACP
2020-03-30,Needham,Buy,,main,VIACP
2020-04-03,Credit Suisse,Neutral,,main,VIACP
2020-04-09,Imperial Capital,Outperform,,main,VIACP
2020-04-13,Deutsche Bank,Buy,,main,VIACP
2020-04-15,Citigroup,Buy,,main,VIACP
2020-04-20,UBS,Neutral,,main,VIACP
2020-04-23,Evercore ISI Group,In-Line,Outperform,down,VIACP
2020-04-28,RBC Capital,Sector Perform,,init,VIACP
2020-05-05,Morgan Stanley,Equal-Weight,,main,VIACP
2020-05-08,Imperial Capital,Outperform,,main,VIACP
2020-05-08,Benchmark,Buy,,main,VIACP
2020-05-11,Barrington Research,Outperform,Market Perform,up,VIACP
2020-06-08,Imperial Capital,Outperform,,main,VIACP
2020-06-23,Citigroup,Buy,,main,VIACP
2020-06-26,Needham,Buy,,main,VIACP
2020-07-13,B of A Securities,Neutral,Buy,down,VIACP
2020-07-13,Goldman Sachs,Buy,,init,VIACP
2020-07-23,Morgan Stanley,Equal-Weight,,main,VIACP
2020-08-07,Morgan Stanley,Equal-Weight,,main,VIACP
2020-08-27,Wells Fargo,Equal-Weight,Underweight,up,VIACP
2020-10-01,Loop Capital,Hold,,init,VIACP
2020-10-09,Needham,Buy,,main,VIACP
2020-10-15,Barclays,Overweight,Equal-Weight,up,VIACP
2020-11-02,Morgan Stanley,Equal-Weight,,main,VIACP
2020-11-16,Rosenblatt,Neutral,,main,VIACP
2020-11-24,Deutsche Bank,Hold,Buy,down,VIACP
2020-12-09,KeyBanc,Underweight,,init,VIACP
2020-12-18,B of A Securities,Underperform,Neutral,down,VIACP
2021-01-19,Barclays,Underweight,Overweight,down,VIACP
2021-01-21,Needham,Buy,,main,VIACP
2021-01-28,Credit Suisse,Underperform,Neutral,down,VIACP
2021-02-01,Citigroup,Neutral,Buy,down,VIACP
2021-02-04,Deutsche Bank,Sell,Hold,down,VIACP
2021-02-08,UBS,Sell,Neutral,down,VIACP
2021-02-19,Morgan Stanley,Equal-Weight,,main,VIACP
2021-02-22,Morgan Stanley,Equal-Weight,,main,VIACP
2021-02-25,Needham,Buy,,main,VIACP
2021-03-05,Rosenblatt,Neutral,,main,VIACP
2021-03-15,BMO Capital,Underperform,Market Perform,down,VIACP
2021-03-22,Benchmark,Buy,,main,VIACP
2021-03-22,Credit Suisse,Underperform,,main,VIACP
2021-03-25,MoffettNathanson,Sell,Neutral,down,VIACP
2021-03-26,Wells Fargo,Underweight,Equal-Weight,down,VIACP
2021-03-29,BMO Capital,Market Perform,Underperform,up,VIACP
2021-03-29,Loop Capital,Hold,Sell,up,VIACP
2021-03-30,Credit Suisse,Neutral,Underperform,up,VIACP
2021-03-30,Gabelli & Co.,Buy,Hold,up,VIACP
2021-04-07,Wolfe Research,Outperform,Peer Perform,up,VIACP
2021-04-12,Morgan Stanley,Equal-Weight,,main,VIACP
2021-04-28,Citigroup,Buy,Neutral,up,VIACP
2021-04-30,Macquarie,Neutral,Underperform,up,VIACP
2021-05-07,RBC Capital,Outperform,Sector Perform,up,VIACP
2021-05-07,Keybanc,Underweight,,main,VIACP
2021-05-07,Wells Fargo,Equal-Weight,Underweight,up,VIACP
2021-05-10,BMO Capital,Market Perform,,main,VIACP
2021-05-10,Barrington Research,Outperform,Market Perform,up,VIACP
2021-05-12,Rosenblatt,Neutral,,main,VIACP
2021-05-20,B of A Securities,Buy,Neutral,up,VIACP
2021-08-06,Deutsche Bank,Hold,Sell,up,VIACP
2021-08-18,Wells Fargo,Overweight,Equal-Weight,up,VIACP
2021-11-05,Keybanc,Underweight,,main,VIACP
2021-11-05,Credit Suisse,Neutral,,main,VIACP
2021-11-05,RBC Capital,Outperform,,main,VIACP
2021-11-05,Goldman Sachs,Buy,,main,VIACP
2021-11-10,Rosenblatt,Neutral,,main,VIACP
2021-12-14,Macquarie,Neutral,,main,VIACP
