Date,Firm,To Grade,From Grade,Action,ABV
2016-11-11,Stifel Nicolaus,Buy,,init,LW
2016-11-16,Bank of America,Buy,,init,LW
2016-11-17,Jefferies,Buy,,init,LW
2017-02-08,Goldman Sachs,Neutral,,init,LW
2017-04-07,Stifel Nicolaus,Hold,Buy,down,LW
2017-05-16,Berenberg,Buy,,init,LW
2017-05-24,CL King,Strong Buy,,init,LW
2017-07-10,Bank of America,Buy,,main,LW
2017-07-26,Morgan Stanley,Equal-Weight,,main,LW
2017-10-05,Morgan Stanley,Equal-Weight,,main,LW
2017-11-06,Bank of America,Buy,,main,LW
2018-04-06,Morgan Stanley,Equal-Weight,Equal-Weight,main,LW
2018-05-22,Vertical Group,Sell,,init,LW
2018-06-19,Bank of America,Buy,Buy,main,LW
2018-07-27,Jefferies,Buy,Buy,main,LW
2018-10-03,Stifel Nicolaus,Hold,Hold,main,LW
2018-10-25,CL King,Neutral,Buy,down,LW
2018-11-15,Bank of America,Neutral,Buy,down,LW
2019-01-07,Barclays,Overweight,Overweight,main,LW
2019-01-23,Stifel Nicolaus,Buy,Hold,up,LW
2019-04-03,Stifel Nicolaus,Buy,Buy,main,LW
2019-05-07,Bank of America,Buy,Neutral,up,LW
2019-06-17,JP Morgan,Neutral,,init,LW
2019-06-19,Goldman Sachs,Buy,Neutral,up,LW
2020-01-06,Stifel Nicolaus,Hold,Buy,down,LW
2020-01-23,Jefferies,Hold,,init,LW
2020-03-19,B of A Securities,Neutral,Buy,down,LW
2020-04-02,Stifel,Hold,,main,LW
2020-04-02,JP Morgan,Neutral,,main,LW
2020-10-08,B of A Securities,Neutral,,main,LW
2020-12-07,JP Morgan,Overweight,Neutral,up,LW
2021-04-05,B of A Securities,Buy,Neutral,up,LW
2021-04-08,Goldman Sachs,Neutral,Buy,down,LW
2021-05-21,Stifel,Buy,Hold,up,LW
2021-10-08,Jefferies,Buy,,main,LW
