Date,Firm,To Grade,From Grade,Action,ABV
2012-06-29,Stifel Nicolaus,Buy,,up,CINF
2012-12-10,Macquarie,Neutral,Underperform,up,CINF
2013-02-08,Stifel Nicolaus,Buy,,main,CINF
2013-03-18,Keefe Bruyette & Woods,Market Perform,Outperform,down,CINF
2014-04-29,Deutsche Bank,Hold,,main,CINF
2015-04-30,Deutsche Bank,Hold,,main,CINF
2015-07-15,Deutsche Bank,Sell,Hold,down,CINF
2018-08-07,Credit Suisse,Underperform,,init,CINF
2019-02-27,Credit Suisse,Neutral,Underperform,up,CINF
2019-05-17,Credit Suisse,Outperform,Neutral,up,CINF
2019-05-24,MKM Partners,Buy,,reit,CINF
2019-09-12,Buckingham,Neutral,,main,CINF
2019-10-25,MKM Partners,Buy,,main,CINF
2020-03-11,Piper Sandler,Underweight,,main,CINF
2020-04-06,Piper Sandler,Underweight,,main,CINF
2020-04-08,RBC Capital,Sector Perform,,main,CINF
2020-04-14,Deutsche Bank,Sell,,main,CINF
2020-04-29,Credit Suisse,Neutral,Outperform,down,CINF
2020-05-06,Credit Suisse,Underperform,Neutral,down,CINF
2020-06-16,Deutsche Bank,Hold,Sell,up,CINF
2021-02-16,Deutsche Bank,Hold,,main,CINF
2021-03-12,MKM Partners,Buy,,main,CINF
2021-04-14,RBC Capital,Outperform,,main,CINF
2021-05-04,Deutsche Bank,Hold,,main,CINF
2021-07-09,Piper Sandler,Neutral,Underweight,up,CINF
2021-07-30,RBC Capital,Outperform,,main,CINF
2021-08-17,Wolfe Research,Outperform,,init,CINF
2021-10-29,RBC Capital,Outperform,,main,CINF
2021-12-09,RBC Capital,Sector Perform,Outperform,down,CINF
