Date,Firm,To Grade,From Grade,Action,ABV
2019-12-13,Argus Research,Hold,,init,VIAC
2019-12-18,Needham,Buy,,init,VIAC
2020-01-06,Imperial Capital,Outperform,,main,VIAC
2020-01-07,BMO Capital,Market Perform,,init,VIAC
2020-01-15,Moffett Nathanson,Neutral,,init,VIAC
2020-01-30,Rosenblatt,Neutral,,init,VIAC
2020-02-03,Credit Suisse,Neutral,Outperform,down,VIAC
2020-02-21,JP Morgan,Overweight,,main,VIAC
2020-02-21,UBS,Neutral,,main,VIAC
2020-02-21,Benchmark,Buy,,main,VIAC
2020-02-24,Rosenblatt,Neutral,,reit,VIAC
2020-02-24,Barclays,Equal-Weight,,main,VIAC
2020-03-03,Barrington Research,Outperform,,main,VIAC
2020-03-05,Imperial Capital,Outperform,,main,VIAC
2020-03-18,Imperial Capital,Outperform,,main,VIAC
2020-03-30,Needham,Buy,,main,VIAC
2020-04-03,Credit Suisse,Neutral,,main,VIAC
2020-04-09,Imperial Capital,Outperform,,main,VIAC
2020-04-13,Deutsche Bank,Buy,,main,VIAC
2020-04-15,Citigroup,Buy,,main,VIAC
2020-04-20,UBS,Neutral,,main,VIAC
2020-04-23,Evercore ISI Group,In-Line,Outperform,down,VIAC
2020-04-28,RBC Capital,Sector Perform,,init,VIAC
2020-05-05,Morgan Stanley,Equal-Weight,,main,VIAC
2020-05-08,Imperial Capital,Outperform,,main,VIAC
2020-05-08,Benchmark,Buy,,main,VIAC
2020-05-11,Barrington Research,Outperform,Market Perform,up,VIAC
2020-06-08,Imperial Capital,Outperform,,main,VIAC
2020-06-23,Citigroup,Buy,,main,VIAC
2020-06-26,Needham,Buy,,main,VIAC
2020-07-13,B of A Securities,Neutral,Buy,down,VIAC
2020-07-13,Goldman Sachs,Buy,,init,VIAC
2020-07-23,Morgan Stanley,Equal-Weight,,main,VIAC
2020-08-07,Morgan Stanley,Equal-Weight,,main,VIAC
2020-08-27,Wells Fargo,Equal-Weight,Underweight,up,VIAC
2020-10-01,Loop Capital,Hold,,init,VIAC
2020-10-09,Needham,Buy,,main,VIAC
2020-10-15,Barclays,Overweight,Equal-Weight,up,VIAC
2020-11-02,Morgan Stanley,Equal-Weight,,main,VIAC
2020-11-16,Rosenblatt,Neutral,,main,VIAC
2020-11-24,Deutsche Bank,Hold,Buy,down,VIAC
2020-12-09,KeyBanc,Underweight,,init,VIAC
2020-12-18,B of A Securities,Underperform,Neutral,down,VIAC
2021-01-19,Barclays,Underweight,Overweight,down,VIAC
2021-01-21,Needham,Buy,,main,VIAC
2021-01-28,Credit Suisse,Underperform,Neutral,down,VIAC
2021-02-01,Citigroup,Neutral,Buy,down,VIAC
2021-02-04,Deutsche Bank,Sell,Hold,down,VIAC
2021-02-08,UBS,Sell,Neutral,down,VIAC
2021-02-19,Morgan Stanley,Equal-Weight,,main,VIAC
2021-02-22,Morgan Stanley,Equal-Weight,,main,VIAC
2021-02-25,Needham,Buy,,main,VIAC
2021-03-05,Rosenblatt,Neutral,,main,VIAC
2021-03-15,BMO Capital,Underperform,Market Perform,down,VIAC
2021-03-22,Benchmark,Buy,,main,VIAC
2021-03-22,Credit Suisse,Underperform,,main,VIAC
2021-03-25,MoffettNathanson,Sell,Neutral,down,VIAC
2021-03-26,Wells Fargo,Underweight,Equal-Weight,down,VIAC
2021-03-29,BMO Capital,Market Perform,Underperform,up,VIAC
2021-03-29,Loop Capital,Hold,Sell,up,VIAC
2021-03-30,Credit Suisse,Neutral,Underperform,up,VIAC
2021-03-30,Gabelli & Co.,Buy,Hold,up,VIAC
2021-04-07,Wolfe Research,Outperform,Peer Perform,up,VIAC
2021-04-12,Morgan Stanley,Equal-Weight,,main,VIAC
2021-04-28,Citigroup,Buy,Neutral,up,VIAC
2021-04-30,Macquarie,Neutral,Underperform,up,VIAC
2021-05-07,RBC Capital,Outperform,Sector Perform,up,VIAC
2021-05-07,Keybanc,Underweight,,main,VIAC
2021-05-07,Wells Fargo,Equal-Weight,Underweight,up,VIAC
2021-05-10,BMO Capital,Market Perform,,main,VIAC
2021-05-10,Barrington Research,Outperform,Market Perform,up,VIAC
2021-05-12,Rosenblatt,Neutral,,main,VIAC
2021-05-20,B of A Securities,Buy,Neutral,up,VIAC
2021-08-06,Deutsche Bank,Hold,Sell,up,VIAC
2021-08-18,Wells Fargo,Overweight,Equal-Weight,up,VIAC
2021-11-05,Keybanc,Underweight,,main,VIAC
2021-11-05,Credit Suisse,Neutral,,main,VIAC
2021-11-05,RBC Capital,Outperform,,main,VIAC
2021-11-05,Goldman Sachs,Buy,,main,VIAC
2021-11-10,Rosenblatt,Neutral,,main,VIAC
2021-12-14,Macquarie,Neutral,,main,VIAC
