Date,Firm,To Grade,From Grade,Action,ABV
2012-04-13,Morgan Stanley,Underweight,,down,ITW
2012-04-23,Barrington Research,Outperform,,main,ITW
2012-04-25,Goldman Sachs,Sell,,main,ITW
2012-04-25,Barrington Research,Outperform,,main,ITW
2012-04-25,Jefferies,Buy,,main,ITW
2012-05-25,JP Morgan,Overweight,,up,ITW
2012-07-11,JP Morgan,Overweight,,main,ITW
2012-07-12,Citigroup,Neutral,,main,ITW
2012-07-18,Jefferies,Buy,,main,ITW
2012-07-25,Barclays,Equal-Weight,,main,ITW
2012-07-27,BMO Capital,Outperform,,init,ITW
2012-08-03,ISI Group,Buy,Hold,up,ITW
2012-09-05,Citigroup,Neutral,,main,ITW
2012-10-09,JP Morgan,Neutral,Overweight,down,ITW
2012-10-12,Deutsche Bank,Buy,,init,ITW
2012-10-15,Jefferies,Buy,,main,ITW
2012-10-24,Barclays,Equal-Weight,,main,ITW
2012-10-24,BMO Capital,Outperform,,main,ITW
2012-10-24,Credit Suisse,Neutral,,main,ITW
2012-10-24,Barrington Research,Outperform,,main,ITW
2012-11-08,ISI Group,Hold,Buy,down,ITW
2012-12-12,Jefferies,Buy,,main,ITW
2013-01-02,ISI Group,Buy,Hold,up,ITW
2013-01-08,JP Morgan,Underweight,Neutral,down,ITW
2013-01-11,Barclays,Equal-Weight,,main,ITW
2013-01-30,BMO Capital,Market Perform,Outperform,down,ITW
2013-01-31,Jefferies,Buy,,main,ITW
2013-03-12,Tigress Financial,Neutral,,init,ITW
2013-03-18,Citigroup,Neutral,,main,ITW
2013-03-25,Deutsche Bank,Buy,,main,ITW
2013-03-28,Deutsche Bank,Buy,,main,ITW
2013-04-01,Deutsche Bank,Buy,,main,ITW
2013-04-24,BMO Capital,Market Perform,,main,ITW
2013-06-24,Goldman Sachs,Sell,Neutral,down,ITW
2013-07-23,UBS,Neutral,Buy,down,ITW
2013-07-24,Jefferies,Buy,,main,ITW
2013-07-24,Stifel Nicolaus,Buy,,main,ITW
2013-08-09,ISI Group,Neutral,Buy,down,ITW
2013-09-25,Citigroup,Neutral,,main,ITW
2013-09-25,Stifel Nicolaus,Buy,,main,ITW
2013-10-23,Jefferies,Buy,,main,ITW
2013-11-07,ISI Group,Cautious,Neutral,down,ITW
2014-02-24,ISI Group,Neutral,Cautious,up,ITW
2014-04-23,Citigroup,Hold,,main,ITW
2014-04-23,Barclays,Equal-Weight,,main,ITW
2014-04-23,Stifel Nicolaus,Buy,,main,ITW
2014-05-13,JP Morgan,Neutral,,init,ITW
2014-05-15,Credit Suisse,Neutral,,main,ITW
2014-05-15,Jefferies,Buy,,main,ITW
2014-07-09,Argus,Buy,Hold,up,ITW
2014-07-30,Credit Suisse,Neutral,,main,ITW
2014-08-07,ISI Group,Buy,Neutral,up,ITW
2014-10-13,Barclays,Equal-Weight,,main,ITW
2014-11-25,RBC Capital,Sector Perform,,init,ITW
2014-12-08,UBS,Neutral,,main,ITW
2014-12-08,Barclays,Equal-Weight,,main,ITW
2014-12-08,Stifel Nicolaus,Buy,,main,ITW
2014-12-08,Seaport Global,Buy,Accumulate,up,ITW
2015-01-16,Jefferies,Buy,,main,ITW
2015-01-28,Barclays,Equal-Weight,,main,ITW
2015-04-17,Barclays,Equal-Weight,,main,ITW
2015-04-22,Barclays,Equal-Weight,,main,ITW
2015-07-23,BMO Capital,Outperform,,main,ITW
2015-09-03,Goldman Sachs,Sell,Neutral,down,ITW
2016-01-11,Barclays,Equal-Weight,,init,ITW
2016-01-19,Barclays,Equal-Weight,,main,ITW
2016-01-21,Citigroup,Buy,,init,ITW
2016-01-28,Barclays,Equal-Weight,,main,ITW
2016-01-28,BMO Capital,Outperform,,main,ITW
2016-01-29,Barclays,Equal-Weight,,main,ITW
2016-03-02,JP Morgan,Neutral,,main,ITW
2016-04-21,Morgan Stanley,Equal-Weight,,main,ITW
2016-04-21,Baird,Outperform,,main,ITW
2016-04-21,Seaport Global,Buy,,main,ITW
2016-04-21,Argus,Buy,,main,ITW
2016-06-23,Baird,Neutral,Outperform,down,ITW
2016-07-15,Deutsche Bank,Buy,,main,ITW
2016-07-25,UBS,Neutral,,main,ITW
2016-10-11,Jefferies,Buy,,main,ITW
2016-11-21,Goldman Sachs,Neutral,Buy,down,ITW
2017-02-17,Goldman Sachs,Sell,Neutral,down,ITW
2017-03-27,Stifel Nicolaus,Hold,Buy,down,ITW
2017-06-01,Goldman Sachs,Buy,Sell,up,ITW
2017-07-10,Morgan Stanley,Equal-Weight,,main,ITW
2017-07-25,Morgan Stanley,Equal-Weight,,main,ITW
2017-08-07,Evercore ISI Group,In-Line,Outperform,down,ITW
2017-08-17,JP Morgan,Underweight,Neutral,down,ITW
2017-10-02,Morgan Stanley,Equal-Weight,,main,ITW
2017-10-09,Citigroup,Buy,,main,ITW
2017-10-10,Citigroup,Buy,,main,ITW
2017-10-10,JP Morgan,Neutral,Underweight,up,ITW
2017-10-24,Morgan Stanley,Equal-Weight,,main,ITW
