Date,Firm,To Grade,From Grade,Action,ABV
2018-06-21,UBS,Neutral,Neutral,main,EVRG
2018-09-17,Wells Fargo,Outperform,Outperform,main,EVRG
2018-09-21,UBS,Neutral,Neutral,main,EVRG
2018-10-05,Wells Fargo,Outperform,Outperform,main,EVRG
2019-01-04,Goldman Sachs,Sell,Neutral,down,EVRG
2019-02-12,Bank of America,Buy,Neutral,up,EVRG
2019-06-07,UBS,Neutral,,main,EVRG
2019-08-09,SunTrust Robinson Humphrey,Buy,,main,EVRG
2019-08-15,Wells Fargo,Market Perform,Outperform,down,EVRG
2019-08-27,Guggenheim,Buy,,main,EVRG
2019-09-20,UBS,Neutral,,main,EVRG
2019-10-10,Bank of America,Neutral,Buy,down,EVRG
2019-10-18,UBS,Neutral,,main,EVRG
2019-11-20,Bank of America,Underperform,Neutral,down,EVRG
2019-11-25,Evercore ISI Group,In-Line,Outperform,down,EVRG
2020-01-22,B of A Securities,Underperform,,main,EVRG
2020-03-03,B of A Securities,Buy,Underperform,up,EVRG
2020-05-07,Wells Fargo,Equal-Weight,,main,EVRG
2020-05-07,CFRA,Hold,,main,EVRG
2020-06-04,Evercore ISI Group,Outperform,In-Line,up,EVRG
2020-06-05,UBS,Neutral,,main,EVRG
2020-08-03,Wolfe Research,Peer Perform,Outperform,down,EVRG
2020-08-06,Wells Fargo,Equal-Weight,,main,EVRG
2020-10-15,Wells Fargo,Overweight,Equal-Weight,up,EVRG
2021-04-19,Wolfe Research,Outperform,Peer Perform,up,EVRG
2021-06-16,Goldman Sachs,Buy,Neutral,up,EVRG
2021-06-22,Wells Fargo,Equal-Weight,Overweight,down,EVRG
2021-07-07,Seaport Global,Buy,,init,EVRG
2021-09-22,Wells Fargo,Equal-Weight,,main,EVRG
2022-01-13,Goldman Sachs,Neutral,Buy,down,EVRG
