Date,Firm,To Grade,From Grade,Action,ABV
2012-03-07,UBS,Buy,,init,MSCI
2012-05-03,Credit Suisse,Outperform,,up,MSCI
2013-08-02,UBS,Buy,,main,MSCI
2013-09-19,Credit Suisse,Outperform,,main,MSCI
2013-12-12,Janney Capital,Buy,,init,MSCI
2014-02-21,Macquarie,Neutral,,main,MSCI
2014-03-25,UBS,Neutral,Buy,down,MSCI
2014-08-01,UBS,Neutral,,main,MSCI
2014-08-01,Keefe Bruyette & Woods,Market Perform,,main,MSCI
2014-09-19,Macquarie,Neutral,,main,MSCI
2015-01-14,Keefe Bruyette & Woods,Outperform,,main,MSCI
2015-03-26,Keefe Bruyette & Woods,Underperform,Market Perform,down,MSCI
2015-03-27,Keefe Bruyette & Woods,Underperform,Market Perform,down,MSCI
2015-07-31,Keefe Bruyette & Woods,Underperform,,main,MSCI
2015-11-02,Keefe Bruyette & Woods,Market Perform,Underperform,up,MSCI
2015-11-02,UBS,Buy,Neutral,up,MSCI
2015-11-10,Cantor Fitzgerald,Buy,,init,MSCI
2016-02-05,Macquarie,Neutral,,main,MSCI
2016-07-11,Credit Suisse,Outperform,,init,MSCI
2016-07-29,UBS,Buy,,main,MSCI
2016-08-01,Morgan Stanley,Equal-Weight,,main,MSCI
2016-10-11,Evercore ISI Group,Sell,Hold,down,MSCI
2017-07-18,Barclays,Equal-Weight,,init,MSCI
2017-08-07,Morgan Stanley,Equal-Weight,,main,MSCI
2017-10-23,Morgan Stanley,Equal-Weight,,main,MSCI
2017-11-03,Morgan Stanley,Equal-Weight,,main,MSCI
2017-11-03,UBS,Buy,,main,MSCI
2017-11-03,Credit Suisse,Outperform,,main,MSCI
2018-01-31,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-02-02,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-03-02,UBS,Buy,Buy,main,MSCI
2018-05-04,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-06-25,Wells Fargo,Outperform,Outperform,main,MSCI
2018-07-18,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-07-25,BMO Capital,Outperform,,init,MSCI
2018-08-03,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-09-13,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-10-15,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2018-11-02,Barclays,Equal-Weight,Equal-Weight,main,MSCI
2018-11-05,BMO Capital,Outperform,Outperform,main,MSCI
2018-12-07,Barclays,Overweight,Equal-Weight,up,MSCI
2019-01-07,Barclays,Overweight,Overweight,main,MSCI
2019-01-08,Morgan Stanley,Equal-Weight,Equal-Weight,main,MSCI
2019-01-25,Buckingham,Neutral,,init,MSCI
2019-06-13,Morgan Stanley,Equal-Weight,,main,MSCI
2019-07-08,UBS,Neutral,Buy,down,MSCI
2019-07-19,Morgan Stanley,Equal-Weight,,main,MSCI
2019-09-25,Atlantic Equities,Neutral,,init,MSCI
2019-10-02,UBS,Neutral,,main,MSCI
2019-10-11,Buckingham,Neutral,,main,MSCI
2019-11-01,Wells Fargo,Outperform,,main,MSCI
2019-11-04,BMO Capital,Outperform,,main,MSCI
2020-01-24,Morgan Stanley,Equal-Weight,,main,MSCI
2020-01-31,Wells Fargo,Overweight,,main,MSCI
2020-01-31,Morgan Stanley,Equal-Weight,,main,MSCI
2020-01-31,UBS,Neutral,,main,MSCI
2020-02-12,Atlantic Equities,Overweight,Neutral,up,MSCI
2020-03-13,UBS,Neutral,,main,MSCI
2020-04-01,BMO Capital,Outperform,,main,MSCI
2020-04-22,Morgan Stanley,Equal-Weight,,main,MSCI
2020-04-29,Morgan Stanley,Equal-Weight,,main,MSCI
2020-04-30,BMO Capital,Outperform,,main,MSCI
2020-07-08,BMO Capital,Outperform,,main,MSCI
2020-07-10,Morgan Stanley,Equal-Weight,,main,MSCI
2020-07-29,Morgan Stanley,Equal-Weight,,main,MSCI
2020-07-29,UBS,Neutral,,main,MSCI
2020-10-06,Oppenheimer,Outperform,,init,MSCI
2020-10-20,Morgan Stanley,Equal-Weight,,main,MSCI
2020-10-28,Morgan Stanley,Equal-Weight,,main,MSCI
2021-01-06,Morgan Stanley,Equal-Weight,,main,MSCI
2021-01-29,Morgan Stanley,Equal-Weight,,main,MSCI
2021-02-01,UBS,Buy,Neutral,up,MSCI
2021-03-12,Deutsche Bank,Buy,,init,MSCI
2021-04-28,Oppenheimer,Outperform,,main,MSCI
2021-04-28,Morgan Stanley,Equal-Weight,,main,MSCI
2021-05-27,Morgan Stanley,Equal-Weight,,main,MSCI
2021-06-16,Oppenheimer,Outperform,,main,MSCI
2021-07-08,RBC Capital,Outperform,,init,MSCI
2021-07-28,Oppenheimer,Outperform,,main,MSCI
2021-07-28,Morgan Stanley,Equal-Weight,,main,MSCI
2021-07-28,Deutsche Bank,Buy,,main,MSCI
2021-09-21,RBC Capital,Outperform,,main,MSCI
2021-09-23,Morgan Stanley,Equal-Weight,,main,MSCI
2021-10-27,Oppenheimer,Outperform,,main,MSCI
2021-10-27,Morgan Stanley,Equal-Weight,,main,MSCI
2022-01-05,Morgan Stanley,Equal-Weight,,main,MSCI
