Date,Firm,To Grade,From Grade,Action,ABV
2012-03-15,Wunderlich,Buy,,main,LNT
2012-05-07,Ladenburg Thalmann,Neutral,,down,LNT
2012-05-07,Wunderlich,Hold,,down,LNT
2012-05-07,Bank oferica,Neutral,,main,LNT
2012-05-14,Baird,Outperform,,up,LNT
2012-08-06,Wunderlich,Hold,,main,LNT
2012-08-06,DA Davidson,Buy,,main,LNT
2012-08-07,Bank of America,Neutral,,main,LNT
2012-10-19,Wunderlich,Buy,Hold,up,LNT
2013-01-02,Wells Fargo,Market Perform,Outperform,down,LNT
2013-02-14,DA Davidson,Buy,,main,LNT
2013-04-12,DA Davidson,Buy,,main,LNT
2013-05-02,Wunderlich,Buy,,main,LNT
2013-08-05,DA Davidson,Buy,,main,LNT
2013-09-05,KeyBanc,Hold,Underweight,up,LNT
2013-10-17,Wunderlich,Buy,,main,LNT
2013-11-12,Macquarie,Outperform,,main,LNT
2014-01-06,Barclays,Equal-Weight,Overweight,down,LNT
2014-02-26,Wunderlich,Buy,,main,LNT
2014-03-26,Wunderlich,Buy,,main,LNT
2014-04-10,Wunderlich,Buy,,main,LNT
2014-05-05,Barclays,Equal-Weight,,main,LNT
2015-03-25,Baird,Outperform,Neutral,up,LNT
2015-05-04,Wunderlich,Hold,,main,LNT
2015-08-17,Barclays,Equal-Weight,,main,LNT
2015-11-16,Wells Fargo,Outperform,Market Perform,up,LNT
2015-12-17,Barclays,Overweight,Equal-Weight,up,LNT
2016-01-04,Barclays,Overweight,,main,LNT
2016-03-18,Barclays,Overweight,,main,LNT
2016-03-21,Argus,Buy,,main,LNT
2016-06-10,Barclays,Equal-Weight,Overweight,down,LNT
2016-08-25,Argus,Buy,,main,LNT
2016-11-04,Guggenheim,Neutral,,init,LNT
2017-01-24,Macquarie,Neutral,Outperform,down,LNT
2017-03-16,UBS,Neutral,,init,LNT
2017-05-26,Jefferies,Hold,,init,LNT
2017-12-18,Wells Fargo,Market Perform,Outperform,down,LNT
2018-02-02,UBS,Neutral,,init,LNT
2018-02-26,Wells Fargo,Market Perform,Market Perform,main,LNT
2018-07-24,Scotia Howard Weil,Sector Perform,,init,LNT
2018-08-10,UBS,Neutral,Neutral,main,LNT
2018-09-17,Wells Fargo,Market Perform,Market Perform,main,LNT
2018-10-09,Mizuho,Neutral,,init,LNT
2018-11-08,Wells Fargo,Market Perform,Market Perform,main,LNT
2018-11-21,Bank of America,Underperform,Neutral,down,LNT
2019-01-18,Barclays,Equal-Weight,,init,LNT
2019-01-30,Wells Fargo,Outperform,Market Perform,up,LNT
2019-02-25,Wells Fargo,Outperform,Outperform,main,LNT
2019-06-26,Bank of America,Buy,Neutral,up,LNT
2019-09-06,UBS,Neutral,,main,LNT
2019-11-21,Barclays,Overweight,Equal-Weight,up,LNT
2019-12-20,ScotiaBank,Sector Outperform,Sector Perform,up,LNT
2020-01-10,UBS,Neutral,,main,LNT
2020-03-03,Mizuho,Neutral,,main,LNT
2020-03-16,Guggenheim,Buy,Neutral,up,LNT
2020-03-26,Barclays,Overweight,,main,LNT
2020-05-13,Wells Fargo,Overweight,,main,LNT
2020-08-11,UBS,Neutral,,main,LNT
2020-09-21,Barclays,Equal-Weight,Overweight,down,LNT
2020-12-22,BMO Capital,Market Perform,,init,LNT
2021-05-18,Mizuho,Buy,Neutral,up,LNT
2021-07-06,Scotiabank,Sector Perform,Sector Outperform,down,LNT
2021-07-09,B of A Securities,Neutral,Buy,down,LNT
2021-08-17,Wells Fargo,Equal-Weight,Overweight,down,LNT
2021-09-07,Guggenheim,Neutral,Buy,down,LNT
