Date,Firm,To Grade,From Grade,Action,ABV
2012-03-08,Feltl & Co.,Strong Buy,,init,BG
2012-04-27,Feltl & Co.,Strong Buy,,main,BG
2012-04-30,Scotiabank,Sector Outperform,,main,BG
2012-05-23,BMO Capital,Outperform,,up,BG
2012-07-30,Topeka,Buy,Hold,up,BG
2012-09-20,BMO Capital,Outperform,,main,BG
2013-01-07,JP Morgan,Overweight,,init,BG
2013-06-12,PiperJaffray,Overweight,Neutral,up,BG
2013-06-13,Barclays,Overweight,,init,BG
2013-07-19,JP Morgan,Overweight,,init,BG
2013-10-21,Bank of America,Buy,Neutral,up,BG
2013-10-21,Miller Tabak,Hold,Buy,down,BG
2013-10-22,Miller Tabak,Hold,Buy,down,BG
2013-10-24,Feltl & Co.,Buy,Hold,up,BG
2013-12-17,Macquarie,Outperform,,init,BG
2014-04-22,JP Morgan,Overweight,,main,BG
2014-10-14,Citigroup,Buy,,main,BG
2014-10-28,JP Morgan,Neutral,Overweight,down,BG
2015-01-20,JP Morgan,Neutral,,main,BG
2015-02-13,Citigroup,Buy,,main,BG
2015-03-26,Goldman Sachs,Buy,Neutral,up,BG
2015-03-27,Goldman Sachs,Buy,Neutral,up,BG
2015-04-14,Stephens & Co.,Overweight,,init,BG
2015-07-06,BMO Capital,Market Perform,Outperform,down,BG
2015-07-07,Vertical Research,Buy,,init,BG
2015-07-31,Citigroup,Buy,,main,BG
2015-09-29,Credit Suisse,Outperform,Neutral,up,BG
2015-09-29,BMO Capital,Outperform,Market Perform,up,BG
2015-10-30,Macquarie,Outperform,,main,BG
2016-02-12,JP Morgan,Overweight,Neutral,up,BG
2016-02-16,Credit Suisse,Outperform,,main,BG
2016-04-22,JP Morgan,Neutral,Overweight,down,BG
2016-04-29,Citigroup,Buy,,main,BG
2016-05-02,Credit Suisse,Outperform,,main,BG
2016-07-12,BB&T Capital,Buy,,init,BG
2016-08-02,Bank of America,Buy,Neutral,up,BG
2017-03-20,Goldman Sachs,Neutral,Buy,down,BG
2017-04-06,JP Morgan,Underweight,Neutral,down,BG
2017-05-04,JP Morgan,Neutral,Underweight,up,BG
2017-07-12,Citigroup,Buy,,main,BG
2017-09-12,Baird,Neutral,,init,BG
2017-09-28,Citigroup,Neutral,Buy,down,BG
2018-03-06,Citigroup,Buy,Neutral,up,BG
2018-03-07,JP Morgan,Overweight,Neutral,up,BG
2018-05-03,Credit Suisse,Outperform,Outperform,main,BG
2018-08-02,Credit Suisse,Outperform,Outperform,main,BG
2018-08-02,JP Morgan,Neutral,Overweight,down,BG
2018-08-02,Citigroup,Buy,Buy,main,BG
2018-11-01,Citigroup,Buy,Buy,main,BG
2018-11-01,BMO Capital,Outperform,Outperform,main,BG
2018-12-10,Citigroup,Buy,Buy,main,BG
2019-02-25,Morgan Stanley,Equal-Weight,Equal-Weight,main,BG
2019-10-08,Stephens & Co.,Overweight,,init,BG
2019-12-10,Goldman Sachs,Buy,Neutral,up,BG
2020-03-30,Morgan Stanley,Equal-Weight,,main,BG
2020-05-13,Baird,Outperform,Neutral,up,BG
2020-08-14,Credit Suisse,Outperform,,main,BG
2020-10-29,Morgan Stanley,Equal-Weight,,main,BG
2020-12-10,Credit Suisse,Outperform,,main,BG
2020-12-14,Morgan Stanley,Equal-Weight,,main,BG
2021-02-11,Credit Suisse,Outperform,,main,BG
2021-02-11,Barclays,Overweight,,main,BG
2021-04-21,B of A Securities,Neutral,,init,BG
2021-05-05,Credit Suisse,Outperform,,main,BG
2021-05-06,Barclays,Overweight,,main,BG
2021-05-10,Morgan Stanley,Equal-Weight,,main,BG
2021-10-28,Stephens & Co.,Overweight,,main,BG
2021-10-28,Barclays,Overweight,,main,BG
