Date,Firm,To Grade,From Grade,Action,ABV
2012-06-01,JP Morgan,Underweight,,down,CAJ
2012-07-26,Goldman Sachs,Hold,Buy,down,CAJ
2012-11-19,JP Morgan,Neutral,Underweight,up,CAJ
2012-12-04,Deutsche Bank,Hold,Buy,down,CAJ
2013-01-07,Jefferies,Buy,Hold,up,CAJ
2013-01-22,JP Morgan,Overweight,,up,CAJ
2013-04-17,Bank of America,Buy,Neutral,up,CAJ
2013-06-10,JP Morgan,Neutral,Overweight,down,CAJ
2013-12-03,JP Morgan,Underweight,Neutral,down,CAJ
2013-12-05,Goldman Sachs,Sell,Neutral,down,CAJ
2014-01-14,Credit Suisse,Neutral,Outperform,down,CAJ
2015-03-23,JP Morgan,Overweight,Neutral,up,CAJ
2015-03-24,JP Morgan,Overweight,Underweight,up,CAJ
2015-07-06,Goldman Sachs,Neutral,Sell,up,CAJ
2016-07-15,CLSA,Underperform,Buy,down,CAJ
2016-10-26,JP Morgan,Underweight,Neutral,down,CAJ
2017-03-06,JP Morgan,Overweight,Neutral,up,CAJ
2018-09-13,JP Morgan,Underweight,Neutral,down,CAJ
2021-10-07,JP Morgan,Overweight,Neutral,up,CAJ
