Date,Firm,To Grade,From Grade,Action,ABV
2012-10-12,Janney Capital,Neutral,,init,MDLZ
2012-11-06,Canaccord Genuity,Sell,,init,MDLZ
2013-02-14,Jefferies,Hold,,main,MDLZ
2013-02-14,Deutsche Bank,Hold,,main,MDLZ
2013-04-03,Deutsche Bank,Hold,,main,MDLZ
2013-04-10,Wells Fargo,Outperform,,init,MDLZ
2013-04-17,Credit Suisse,Outperform,,main,MDLZ
2013-04-22,JP Morgan,Overweight,,main,MDLZ
2013-05-08,Stifel Nicolaus,Buy,,main,MDLZ
2013-05-08,Credit Agricole,Underperform,Outperform,down,MDLZ
2013-06-13,UBS,Buy,,main,MDLZ
2013-08-08,Credit Suisse,Outperform,Outperform,main,MDLZ
2013-08-08,Deutsche Bank,Hold,,main,MDLZ
2013-08-08,Jefferies,Hold,,main,MDLZ
2013-11-07,Stifel Nicolaus,Hold,Buy,down,MDLZ
2013-11-07,Deutsche Bank,Hold,,main,MDLZ
2013-11-25,RBC Capital,Sector Perform,,init,MDLZ
2013-12-11,First Global,Outperform,,init,MDLZ
2014-01-09,Credit Suisse,Neutral,Outperform,down,MDLZ
2014-01-30,Societe Generale,Hold,,init,MDLZ
2014-01-31,Societe Generale,Hold,,init,MDLZ
2014-02-13,Credit Suisse,Neutral,,main,MDLZ
2014-03-25,Citigroup,Buy,,main,MDLZ
2014-04-08,Nomura,Reduce,,init,MDLZ
2014-04-09,Nomura,Reduce,,init,MDLZ
2014-05-08,Credit Suisse,Outperform,Neutral,up,MDLZ
2014-05-08,Bank of America,Buy,,main,MDLZ
2014-07-17,Nomura,,,main,MDLZ
2014-07-30,Deutsche Bank,Hold,,main,MDLZ
2014-08-07,Citigroup,Buy,,main,MDLZ
2014-09-17,Societe Generale,Buy,Hold,up,MDLZ
2014-10-27,RBC Capital,Outperform,Sector Perform,up,MDLZ
2014-11-06,JP Morgan,Overweight,,main,MDLZ
2015-01-12,Citigroup,Neutral,Buy,down,MDLZ
2015-01-13,Nomura,,,main,MDLZ
2015-02-06,Deutsche Bank,Hold,,main,MDLZ
2015-02-12,Deutsche Bank,Hold,,main,MDLZ
2015-04-30,Deutsche Bank,Buy,Hold,up,MDLZ
2015-06-01,Deutsche Bank,Buy,,main,MDLZ
2015-06-12,BMO Capital,Outperform,Market Perform,up,MDLZ
2015-07-31,Citigroup,Neutral,,main,MDLZ
2015-07-31,Goldman Sachs,Neutral,Buy,down,MDLZ
2015-08-06,CLSA,Outperform,Buy,down,MDLZ
2015-10-19,Buckingham Research,Buy,,init,MDLZ
2015-10-26,Susquehanna,Positive,,init,MDLZ
2015-10-29,Susquehanna,Positive,,main,MDLZ
2016-01-07,Deutsche Bank,Hold,Buy,down,MDLZ
2016-01-19,Credit Suisse,Outperform,,main,MDLZ
2016-02-01,Susquehanna,Neutral,Positive,down,MDLZ
2016-02-04,Deutsche Bank,Hold,,main,MDLZ
2016-02-04,Citigroup,Neutral,,main,MDLZ
2016-02-04,Buckingham Research,Buy,,main,MDLZ
2016-02-04,Canaccord Genuity,Buy,Hold,up,MDLZ
2016-02-24,UBS,Buy,,init,MDLZ
2016-07-25,Susquehanna,Positive,Neutral,up,MDLZ
2016-07-28,Morgan Stanley,Overweight,,main,MDLZ
2016-07-28,UBS,Buy,,main,MDLZ
2016-07-28,Societe Generale,Hold,Buy,down,MDLZ
2016-07-28,Deutsche Bank,Hold,,main,MDLZ
2017-01-05,Berenberg,Buy,,init,MDLZ
2017-02-08,Susquehanna,Neutral,Positive,down,MDLZ
2017-02-15,Deutsche Bank,Hold,,init,MDLZ
2017-04-04,Goldman Sachs,Buy,Neutral,up,MDLZ
2017-05-03,Deutsche Bank,Buy,Hold,up,MDLZ
2017-05-25,PiperJaffray,Neutral,,init,MDLZ
2017-07-25,PiperJaffray,Overweight,Neutral,up,MDLZ
2017-10-12,UBS,Buy,,main,MDLZ
2017-10-13,Morgan Stanley,Overweight,,main,MDLZ
2017-10-31,Credit Suisse,Outperform,,main,MDLZ
2017-10-31,Buckingham,Buy,,main,MDLZ
2017-11-01,JP Morgan,Overweight,,main,MDLZ
2018-02-01,Morgan Stanley,Overweight,Overweight,main,MDLZ
2018-02-01,Bank of America,Buy,Buy,main,MDLZ
2018-02-02,Societe Generale,Buy,Hold,up,MDLZ
2018-05-02,Morgan Stanley,Overweight,Overweight,main,MDLZ
2018-05-02,Stifel Nicolaus,Hold,Hold,main,MDLZ
2018-06-20,UBS,Buy,Buy,main,MDLZ
2018-07-23,JP Morgan,Overweight,Overweight,main,MDLZ
2018-07-26,UBS,Buy,Buy,main,MDLZ
2018-07-27,DZ Bank,Buy,Hold,up,MDLZ
2018-09-05,Wells Fargo,Outperform,Outperform,main,MDLZ
2019-01-23,Guggenheim,Buy,,init,MDLZ
2019-01-24,Berenberg,Hold,Buy,down,MDLZ
2019-06-12,Evercore ISI Group,Outperform,,init,MDLZ
2019-06-17,Stifel Nicolaus,Hold,,main,MDLZ
2019-07-31,Morgan Stanley,Equal-Weight,,main,MDLZ
2019-07-31,Credit Suisse,Outperform,,main,MDLZ
2019-07-31,Buckingham Research,Buy,,main,MDLZ
2019-08-08,Morgan Stanley,Overweight,Equal-Weight,up,MDLZ
2019-10-17,RBC Capital,Outperform,,init,MDLZ
2020-02-11,Buckingham,Buy,,main,MDLZ
2020-03-23,Morgan Stanley,Overweight,,main,MDLZ
2020-03-30,Stifel,Buy,Hold,up,MDLZ
2020-04-27,Morgan Stanley,Overweight,,main,MDLZ
2020-04-29,Guggenheim,Buy,,main,MDLZ
2020-04-29,Piper Sandler,Overweight,,main,MDLZ
2020-06-08,Morgan Stanley,Overweight,,main,MDLZ
2020-06-15,Berenberg,Buy,Hold,up,MDLZ
2020-07-28,Seaport Global,Buy,,init,MDLZ
2020-07-29,Morgan Stanley,Overweight,,main,MDLZ
2020-07-29,Jefferies,Buy,,main,MDLZ
2020-07-29,Piper Sandler,Overweight,,main,MDLZ
2020-07-29,UBS,Buy,,main,MDLZ
2020-07-29,JP Morgan,Overweight,,main,MDLZ
2020-07-29,Credit Suisse,Outperform,,main,MDLZ
2020-09-23,Piper Sandler,Overweight,,main,MDLZ
2020-11-03,Morgan Stanley,Overweight,,main,MDLZ
2021-01-22,Deutsche Bank,Buy,,main,MDLZ
2021-01-29,Credit Suisse,Outperform,,main,MDLZ
2021-04-28,Jefferies,Buy,,main,MDLZ
2021-04-28,Morgan Stanley,Overweight,,main,MDLZ
2021-04-28,Credit Suisse,Outperform,,main,MDLZ
2021-04-28,RBC Capital,Outperform,,main,MDLZ
