Date,Firm,To Grade,From Grade,Action,ABV
2012-05-10,Hilliard Lyons,Long-Term Buy,,main,ATO
2012-05-17,Bank oferica,Buy,,up,ATO
2012-08-10,Hilliard Lyons,Long-Term Buy,,main,ATO
2012-08-13,Barclays,Equal-Weight,,main,ATO
2012-08-30,Bank of America,Buy,,main,ATO
2013-02-08,Barclays,Equal-Weight,,main,ATO
2014-03-19,U.S. Capital Advisors,Hold,Underweight,up,ATO
2014-03-25,Barclays,Equal-Weight,,main,ATO
2014-04-17,Citigroup,Neutral,,main,ATO
2014-04-21,JP Morgan,Neutral,,init,ATO
2014-05-19,Barclays,Equal-Weight,,main,ATO
2014-07-09,JP Morgan,,Neutral,main,ATO
2014-08-08,Edward Jones,Buy,Hold,up,ATO
2014-10-17,JP Morgan,Overweight,Neutral,up,ATO
2014-11-07,Bank of America,Buy,,main,ATO
2014-11-07,JP Morgan,Overweight,,main,ATO
2014-11-20,JP Morgan,Overweight,,main,ATO
2015-01-12,JP Morgan,Overweight,,main,ATO
2015-01-23,Ladenburg Thalmann,Buy,,init,ATO
2015-01-26,Citigroup,Neutral,,main,ATO
2015-01-27,Barclays,Equal-Weight,,main,ATO
2015-03-03,Morgan Stanley,Overweight,Equal-Weight,up,ATO
2015-06-16,JP Morgan,Overweight,,main,ATO
2015-09-22,JP Morgan,Overweight,,main,ATO
2016-01-04,JP Morgan,Overweight,,main,ATO
2016-01-11,Barclays,Underweight,Equal-Weight,down,ATO
2016-02-25,JP Morgan,Overweight,,main,ATO
2016-03-18,Morgan Stanley,Equal-Weight,Overweight,down,ATO
2016-03-30,BB&T Capital,Buy,,init,ATO
2016-07-27,Citigroup,Neutral,,main,ATO
2016-08-05,JP Morgan,Overweight,,main,ATO
2016-10-31,Argus,Buy,Hold,up,ATO
2016-11-18,Seaport Global,Buy,,init,ATO
2016-12-20,UBS,Buy,,init,ATO
2017-08-23,Argus,Buy,,main,ATO
2017-10-12,JP Morgan,Overweight,,main,ATO
2018-01-25,JP Morgan,Overweight,Overweight,main,ATO
2018-02-08,Barclays,Underweight,Underweight,main,ATO
2018-04-10,JP Morgan,Overweight,Overweight,main,ATO
2018-06-12,Citigroup,Neutral,Neutral,main,ATO
2018-06-13,Morgan Stanley,Equal-Weight,Equal-Weight,main,ATO
2018-07-11,Barclays,Underweight,Underweight,main,ATO
2018-07-16,Morgan Stanley,Equal-Weight,Equal-Weight,main,ATO
2018-09-11,Morgan Stanley,Equal-Weight,Equal-Weight,main,ATO
2018-09-21,Morgan Stanley,Overweight,Equal-Weight,up,ATO
2018-10-11,Morgan Stanley,Overweight,Overweight,main,ATO
2018-10-12,Barclays,Underweight,Underweight,main,ATO
2018-11-29,Citigroup,Neutral,Neutral,main,ATO
2018-12-14,UBS,Neutral,Buy,down,ATO
2019-07-15,Wells Fargo,Outperform,,init,ATO
2019-08-16,Morgan Stanley,Overweight,,main,ATO
2019-09-20,Goldman Sachs,Buy,,init,ATO
2019-09-25,Morgan Stanley,Overweight,,main,ATO
2019-10-14,JP Morgan,Overweight,,main,ATO
2019-10-17,Mizuho,Neutral,,init,ATO
2019-10-17,Morgan Stanley,Overweight,,main,ATO
2019-11-08,Morgan Stanley,Overweight,,main,ATO
2019-11-08,Wells Fargo,Outperform,,main,ATO
2019-12-04,UBS,Buy,Neutral,up,ATO
2019-12-16,Morgan Stanley,Overweight,,main,ATO
2020-01-07,Bank of America,Buy,Neutral,up,ATO
2020-01-22,Morgan Stanley,Overweight,,main,ATO
2020-01-24,Citigroup,Neutral,,main,ATO
2020-01-31,UBS,Neutral,Buy,down,ATO
2020-02-14,Morgan Stanley,Overweight,,main,ATO
2020-03-12,Morgan Stanley,Overweight,,main,ATO
2020-03-23,Morgan Stanley,Equal-Weight,Overweight,down,ATO
2020-04-01,UBS,Buy,Neutral,up,ATO
2020-04-15,Morgan Stanley,Equal-Weight,,main,ATO
2020-05-07,Wells Fargo,Overweight,,main,ATO
2020-05-15,Morgan Stanley,Equal-Weight,,main,ATO
2020-06-17,Morgan Stanley,Equal-Weight,,main,ATO
2020-07-13,Seaport Global,Buy,,init,ATO
2020-08-10,B of A Securities,Buy,,main,ATO
2020-08-14,Morgan Stanley,Equal-Weight,,main,ATO
2020-09-18,Morgan Stanley,Equal-Weight,,main,ATO
2020-09-25,Mizuho,Neutral,,main,ATO
2020-10-05,Morgan Stanley,Equal-Weight,,main,ATO
2020-10-20,Morgan Stanley,Equal-Weight,,main,ATO
2020-11-17,Morgan Stanley,Equal-Weight,,main,ATO
2020-12-15,Morgan Stanley,Overweight,Equal-Weight,up,ATO
2021-01-20,Morgan Stanley,Overweight,,main,ATO
2021-02-18,Morgan Stanley,Overweight,,main,ATO
2021-03-04,Mizuho,Buy,Neutral,up,ATO
2021-03-09,B of A Securities,Neutral,Buy,down,ATO
2021-03-19,Morgan Stanley,Overweight,,main,ATO
2021-04-07,Seaport Global,Neutral,Buy,down,ATO
2021-04-21,Morgan Stanley,Overweight,,main,ATO
2021-05-18,Morgan Stanley,Overweight,,main,ATO
2021-05-27,Mizuho,Buy,,main,ATO
2021-06-21,Morgan Stanley,Overweight,,main,ATO
2021-06-24,Wells Fargo,Overweight,,main,ATO
2021-07-20,Morgan Stanley,Overweight,,main,ATO
2021-08-17,Mizuho,Buy,,main,ATO
2021-08-19,Morgan Stanley,Overweight,,main,ATO
2021-09-17,Morgan Stanley,Overweight,,main,ATO
2021-10-07,Argus Research,Hold,Buy,down,ATO
2021-10-11,Argus Research,Hold,Buy,down,ATO
2021-10-19,Morgan Stanley,Overweight,,main,ATO
2021-12-13,Barclays,Equal-Weight,Underweight,up,ATO
2021-12-15,B of A Securities,Buy,Neutral,up,ATO
2021-12-21,Morgan Stanley,Overweight,,main,ATO
