Date,Firm,To Grade,From Grade,Action,ABV
2012-02-07,Jefferies,Buy,,up,MAA
2012-05-08,Jefferies,Buy,,main,MAA
2012-05-08,Jefferies,Buy,,main,MAA
2012-10-19,Jefferies,Hold,Buy,down,MAA
2012-11-29,BMO Capital,,Outperform,down,MAA
2012-12-07,KeyBanc,Hold,,init,MAA
2013-02-21,Jefferies,Hold,,main,MAA
2013-04-10,Hilliard Lyons,Neutral,Buy,down,MAA
2013-04-10,Hilliard Lyons,Neutral,Buy,down,MAA
2013-04-17,Raymond James,Outperform,Strong Buy,down,MAA
2013-09-13,Jefferies,Hold,,main,MAA
2014-05-06,Raymond James,Outperform,,main,MAA
2014-07-10,Morgan Stanley,Underweight,Equal-Weight,down,MAA
2014-08-18,Jefferies,Hold,,main,MAA
2014-08-25,Mizuho,Buy,,init,MAA
2014-09-02,Capital One Financial,Overweight,,init,MAA
2015-01-12,Jefferies,Buy,Hold,up,MAA
2015-03-17,Baird,Outperform,,init,MAA
2015-04-08,BMO Capital,Outperform,,init,MAA
2015-04-09,Janney Capital,Buy,,init,MAA
2015-06-04,Cowen & Co.,Outperform,,init,MAA
2015-07-21,SunTrust Robinson Humphrey,Buy,,init,MAA
2015-08-03,Baird,Hold,,main,MAA
2015-09-15,JMP Securities,Market Perform,,init,MAA
2015-09-17,DA Davidson,Buy,,init,MAA
2015-09-21,Mizuho,Buy,,main,MAA
2015-10-05,Baird,Neutral,,down,MAA
2015-11-10,BB&T Capital,Hold,,init,MAA
2015-12-16,KeyBanc,Sector Weight,Overweight,down,MAA
2016-01-22,SunTrust Robinson Humphrey,Neutral,Buy,down,MAA
2016-02-04,Oppenheimer,Overweight,,main,MAA
2016-02-05,BMO Capital,Outperform,,main,MAA
2016-02-10,SunTrust Robinson Humphrey,Neutral,,main,MAA
2016-03-11,DA Davidson,Neutral,Buy,down,MAA
2016-03-21,Mizuho,Neutral,Buy,down,MAA
2016-04-22,Jefferies,Hold,Buy,down,MAA
2016-06-08,Jefferies,Hold,,main,MAA
2016-07-15,SunTrust Robinson Humphrey,Neutral,,main,MAA
2016-07-15,KeyBanc,Overweight,Sector Weight,up,MAA
2016-08-08,Citigroup,Neutral,,main,MAA
2016-08-10,Jefferies,Hold,,main,MAA
2016-08-15,Jefferies,Hold,Buy,down,MAA
2016-08-19,SunTrust Robinson Humphrey,Buy,Neutral,up,MAA
2016-08-25,BTIG Research,Neutral,,init,MAA
2016-10-17,DA Davidson,Buy,Neutral,up,MAA
2016-10-20,JMP Securities,Market Outperform,Market Perform,up,MAA
2016-10-20,Jefferies,Buy,Hold,up,MAA
2016-11-30,BMO Capital,Outperform,Market Perform,up,MAA
2016-12-02,Baird,Outperform,Neutral,up,MAA
2016-12-13,RBC Capital,Outperform,Sector Perform,up,MAA
2017-01-09,UBS,Neutral,,init,MAA
2017-03-14,UBS,Buy,Neutral,up,MAA
2017-07-06,UBS,Neutral,Buy,down,MAA
2017-07-18,Barclays,Overweight,,main,MAA
2017-09-08,BTIG Research,Buy,Neutral,up,MAA
2017-10-19,JMP Securities,Market Perform,Market Outperform,down,MAA
2017-10-27,Stifel Nicolaus,Hold,,main,MAA
2017-11-27,BMO Capital,Market Perform,Outperform,down,MAA
2017-11-29,Raymond James,Market Perform,Outperform,down,MAA
2017-12-14,Jefferies,Hold,Buy,down,MAA
2018-01-19,Stifel Nicolaus,Buy,Hold,up,MAA
2018-01-30,Barclays,Overweight,Overweight,main,MAA
2018-02-07,Cantor Fitzgerald,Overweight,,main,MAA
2018-05-31,BTIG Research,Neutral,Buy,down,MAA
2018-08-03,Stifel Nicolaus,Hold,Buy,down,MAA
2018-10-22,Capital One Financial,Equal-Weight,,init,MAA
2019-03-19,KeyBanc,Overweight,Overweight,main,MAA
2019-03-25,BMO Capital,Outperform,Market Perform,up,MAA
2019-04-04,Raymond James,Market Perform,Outperform,down,MAA
2019-04-04,Janney Capital,Neutral,Buy,down,MAA
2019-05-08,Mizuho,Buy,Neutral,up,MAA
2019-05-20,RBC Capital,Outperform,,main,MAA
2019-07-09,Scotiabank,Sector Underperform,Sector Perform,down,MAA
2019-07-10,KeyBanc,Overweight,,main,MAA
2019-08-28,Barclays,Overweight,,main,MAA
2019-10-08,KeyBanc,Overweight,,main,MAA
2019-11-07,Citigroup,Neutral,,main,MAA
2019-11-08,Goldman Sachs,Neutral,,init,MAA
2019-11-26,ScotiaBank,Sector Perform,Sector Underperform,up,MAA
2019-12-17,KeyBanc,Sector Weight,Overweight,down,MAA
2020-01-15,Mizuho,Neutral,Buy,down,MAA
2020-02-04,Citigroup,Neutral,,main,MAA
2020-04-02,SunTrust Robinson Humphrey,Buy,,main,MAA
2020-04-07,Citigroup,Neutral,,main,MAA
2020-04-08,BMO Capital,Market Perform,Outperform,down,MAA
2020-05-18,Raymond James,Outperform,Market Perform,up,MAA
2020-06-08,BMO Capital,Outperform,Market Perform,up,MAA
2020-06-18,SunTrust Robinson Humphrey,Hold,Buy,down,MAA
2020-08-18,Truist Securities,Hold,,main,MAA
2020-10-13,Jefferies,Buy,Hold,up,MAA
2021-01-22,ScotiaBank,Sector Outperform,Sector Perform,up,MAA
2021-02-09,Baird,Neutral,Outperform,down,MAA
2021-03-31,RBC Capital,Sector Perform,,init,MAA
2021-05-11,Raymond James,Outperform,,main,MAA
2021-06-01,BMO Capital,Market Perform,Outperform,down,MAA
2021-06-04,Truist Securities,Buy,Hold,up,MAA
2021-07-19,Raymond James,Outperform,,main,MAA
2021-07-30,RBC Capital,Sector Perform,,main,MAA
2021-08-25,Truist Securities,Buy,,main,MAA
2021-09-01,Barclays,Overweight,,init,MAA
2021-09-13,BTIG,Buy,Neutral,up,MAA
2021-09-29,Mizuho,Neutral,,main,MAA
2021-10-26,Piper Sandler,Overweight,,init,MAA
2021-10-29,RBC Capital,Sector Perform,,main,MAA
2021-11-02,Raymond James,Outperform,,main,MAA
